Nombre Entidad,NIT Entidad,Nivel,Orden,Municipio,Numero de Resolucion,Documento Contratista,Nombre Contratista,Numero de Contrato,Valor Sancion,Fecha de Publicacion,Fecha de Firmeza,Fecha de Cargue,Ruta de Proceso
BOGOTÁ D.C. - CAJA DE VIVIENDA POPULAR,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCION 2126,900685628,CONSORCIO CVP GP 2,CVP-CTO-589-2013,79922461,09/02/2015 12:00:00 AM,09/22/2015 12:00:00 AM,09/23/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182692
BOGOTÁ D.C. - CAJA DE VIVIENDA POPULAR,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCION 3129,9008574805,UNION TEMPORAL VIVIENDA POPULAR,CVP-CTO-539-2015,13102781,06/17/2016 12:00:00 AM,06/17/2016 12:00:00 AM,06/20/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183714
BOGOTÁ D.C. - DEFENSORIA DEL ESPACIO PUBLICO,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,278,900098809,CUARTO PODER OR S.A.S.,400-00129-223-0-2015,2017269,09/30/2014 12:00:00 AM,10/05/2015 12:00:00 AM,10/08/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182753
BOGOTÁ D.C. - DEFENSORIA DEL ESPACIO PUBLICO,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,405,9008733202,UNION TEMPORAL DADEP 2015,110-00129-270-0-2015,65897850,12/23/2015 12:00:00 AM,12/30/2015 12:00:00 AM,02/23/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183182
BOGOTÁ D.C. - E.S.E. HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Bogotá D.C.,157 DE 2015,9006436241,INVERSIONES DUMHOS S.A.S.,431 DE 2014,59880000,04/13/2015 12:00:00 AM,08/06/2015 12:00:00 AM,08/10/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182451
BOGOTÁ D.C. - E.S.E. HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Bogotá D.C.,255 DE 2015,9006436241,INVERSIONES DUMHOS S.A.S.,431 DE 2014,59880000,06/25/2015 12:00:00 AM,08/06/2015 12:00:00 AM,08/11/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182452
BOGOTÁ D.C. - EMPRESA DE RENOVACIÓN Y DESARROLLO URBANO DE BOGOTÁ D.C.,830144890,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Bogotá D.C.,016,37751141,MAGDA LILIANA DIAZ MESA,048,3095736,04/14/2014 12:00:00 AM,04/15/2014 12:00:00 AM,03/04/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618283
"BOGOTÁ D.C. - FONDO DE PRESTACIONES ECONOMICAS, CESANTIAS Y PENSIONES FONCEP",No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN No. OAJ-004 de 2018,899.999.230,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,MENOR CUANTIA - SAMC 09-2016,88899167,08/17/2018 12:00:00 AM,08/21/2018 12:00:00 AM,08/23/2018 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26187476
BOGOTÁ D.C. - FONDO FINANCIERO DISTRITAL DE SALUD,No Definido,TERRITORIAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,3443,79687293,JUAN MANUEL MANJARRES MANJARRES,1237-2017,1785600,12/13/2019 12:00:00 AM,12/16/2019 12:00:00 AM,12/16/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189198
BOGOTÁ D.C. - FONDO FINANCIERO DISTRITAL DE SALUD,No Definido,TERRITORIAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,972 Y 1268 DE 2019,8301266453,BUSINESS INTELLIGENCE SOTFWARE ASSESSOR CORPORATIO,1688 DE 2015,16704000,05/02/2019 12:00:00 AM,05/29/2019 12:00:00 AM,07/10/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188660
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,002394,9007658961,HMV CONSULTORIA  SAS,IDU-1484-2017,551691569,07/02/2021 12:00:00 AM,07/06/2021 12:00:00 AM,07/08/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810498
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,003947-2019,79650695,DIVANOVIG ALEXANDER LEMUS PULIDO,IDU-1217-2019,2344999,12/27/2019 12:00:00 AM,07/16/2020 12:00:00 AM,07/16/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189663
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,004969,9011403051,CONSORCIO DARP GJ,IDU-1533-2017,84998270,09/07/2020 12:00:00 AM,09/07/2020 12:00:00 AM,01/25/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810234
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,006161 DE 2020,8300054440,CIVILTEC INGENIEROS LTDA,IDU-1291-2017,879505905,11/11/2020 12:00:00 AM,11/12/2020 12:00:00 AM,08/19/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810578
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,006161 DE 2020,8300054440,CIVILTEC INGENIEROS LTDA,IDU-1291-2017,879505905,11/11/2020 12:00:00 AM,11/12/2020 12:00:00 AM,08/19/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810579
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,105651 de 2014,9004861981,CONSORCIO MJ,IDU-53-2011,2162991,11/28/2014 12:00:00 AM,12/21/2014 12:00:00 AM,12/24/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181596
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,106416 de 2014,9003090906,CONSORCIO INTERVIAL 09,IDU-31-2009,140217700,12/04/2014 12:00:00 AM,12/23/2014 12:00:00 AM,12/23/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181591
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,1166-2020,9010101769,CONSORCIO INFRAESTRUCTURA VIAL BOGOTA 2016,IDU-935-2016,237927711,12/19/2019 12:00:00 AM,01/28/2020 12:00:00 AM,02/06/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189341
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,1294-2020,9010107671,UNION TEMPORAL ESPACIO PUBLICO,IDU-933-2016,1378016652,01/31/2020 12:00:00 AM,02/03/2020 12:00:00 AM,02/05/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189340
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,14257,9002592606,CONSORCIO PRO - 3,IDU-93-2008,1044120000,05/08/2014 12:00:00 AM,05/09/2014 12:00:00 AM,05/15/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618667
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,2046 DE 2023,901139847,CONSORCIO AVENIDA 82,IDU-1521-2017,1545756753,05/05/2023 12:00:00 AM,07/27/2023 12:00:00 AM,09/22/2023 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811469
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,20833,9005088342,GRUPO DBS SAS,IDU-283-2014,3377999,05/22/2014 12:00:00 AM,06/03/2014 12:00:00 AM,06/05/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618750
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,2234-2022,9010372875,CONSORCIO TRONCAL CARACAS,IDU-1109-2016,586620650,04/11/2022 12:00:00 AM,04/12/2022 12:00:00 AM,04/19/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810983
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,279 DE 2022,9011200977,CONSORCIO E&D CIRCUNVALAR 2017,IDU-1378-2017,235141111,01/20/2022 12:00:00 AM,01/21/2022 12:00:00 AM,01/24/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810858
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,3163 DE 2013,9003090906,CONSORCIO INTERVIAL 09,IDU-31-2009,360544249,12/12/2013 12:00:00 AM,12/23/2014 12:00:00 AM,12/23/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181590
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,40426,8902019496,ESTUDIOS TECNICOS Y ASESORIAS  SOCIEDAD ANONIMA -,IDU-42-2012,334010512,04/24/2014 12:00:00 AM,06/06/2014 12:00:00 AM,06/10/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618796
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,40481,9003214535,CONSORCIO VIAS 2009,IDU-54-2009,830568885,06/12/2014 12:00:00 AM,06/13/2014 12:00:00 AM,06/17/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618817
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,4413-2021,9009808566,WSP PROYECTOS SAS,IDU-1512-2017,360407822,09/10/2021 12:00:00 AM,09/13/2021 12:00:00 AM,09/16/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810638
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,4904,9010372431,CONSORCIO EUROCIVIL IDU 015,IDU-1113-2016,304719400,09/01/2022 12:00:00 AM,09/02/2022 12:00:00 AM,09/05/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811100
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,4904,9010372431,CONSORCIO EUROCIVIL IDU 015,IDU-1113-2016,304719400,09/01/2022 12:00:00 AM,09/02/2022 12:00:00 AM,09/05/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811101
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,63189 de 2014,8301152256,POYRY INFRA S.A.,IDU-171-2007,1823001852,07/24/2014 12:00:00 AM,07/24/2014 12:00:00 AM,07/29/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618957
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,6735-2022,901037243,CONSORCIO EUROCIVIL IDU 015,IDU-1113-2016,304719400,11/11/2022 12:00:00 AM,11/15/2022 12:00:00 AM,11/18/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811221
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,67448 DE 2014,8301132067,UNION TEMPORAL BOL,IDU-83-2012,27631494,06/19/2014 12:00:00 AM,08/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618977
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,7727- DE 2022,901064888,CONSORCIO AVENIDA BOYACA,IDU-928-2017,294104396,12/02/2022 12:00:00 AM,08/04/2022 12:00:00 AM,09/22/2023 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811468
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,7905-2021,9011168010,UNION TEMPORAL INTEGRAL - ESFINANZAS,IDU-1347-2017,110919747,12/29/2021 12:00:00 AM,01/11/2022 12:00:00 AM,01/27/2022 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810878
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,8128 Constancia Ejecutoria,8300104877,PABLO EMILIO BOCAREJO INGENIEROS CONSULTORES & CIA,IDU-43-2012,22450148,03/10/2015 12:00:00 AM,03/10/2015 12:00:00 AM,03/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181926
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,84753 de 2014,9003812266,IV INGENIEROS CONSULTORES SUCURSAL COLOMBIA S.A.,IDU-2226-2013,260349784,10/03/2014 12:00:00 AM,10/06/2014 12:00:00 AM,10/07/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181297
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,99527 de 2014,8604512531,CIVING INGENIEROS CONTRATISTAS S. EN C.,IDU-1375-2013,7941743,11/13/2014 12:00:00 AM,11/27/2014 12:00:00 AM,12/02/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181504
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,ACTA DE AUDICENCIA IDU-49-2012,9005805977,CONSORCIO AG - 14,IDU-49-2012,61931152,07/28/2016 12:00:00 AM,07/28/2016 12:00:00 AM,08/02/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183916
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA,9003090906,CONSORCIO INTERVIAL 09,IDU-31-2009,140217700,12/23/2014 12:00:00 AM,12/23/2014 12:00:00 AM,12/23/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181592
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria,9007662331,CONSORCIO ESPACIOS URBANOS 009,IDU-1275-2014,282643280,12/14/2016 12:00:00 AM,12/14/2016 12:00:00 AM,12/16/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184780
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA 56426,9007629538,CONSORCIO ESPACIOS URBANOS 008,IDU-795-2014,668102162,08/11/2015 12:00:00 AM,08/14/2015 12:00:00 AM,08/20/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182496
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA 58346,8301178967,CONSTRUCCIONES AR & S LTDA.,IDU-1947-2014,199070398,09/09/2015 12:00:00 AM,09/09/2015 12:00:00 AM,09/11/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182656
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria IDU-1654-2014,9007789885,CONSORCIO LA SIRENA 2014,IDU-1654-2014,2160736238,09/30/2016 12:00:00 AM,09/30/2016 12:00:00 AM,10/05/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184277
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA IDU-1856-2013,8300054440,CIVILTEC INGENIEROS LTDA,IDU-1856-2013,0,08/03/2016 12:00:00 AM,08/03/2016 12:00:00 AM,08/04/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183938
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria IDU-857-2013,79276624,OMAR ZAMBRANO PINZON,IDU-857-2013,3780000,04/21/2015 12:00:00 AM,04/21/2015 12:00:00 AM,05/04/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182125
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria Resol. 44374 IDU-1275-2014,9007662331,CONSORCIO ESPACIOS URBANOS 009,IDU-1275-2014,145271808,06/22/2015 12:00:00 AM,06/22/2015 12:00:00 AM,06/22/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182308
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA RESOL. 444 DE 2015,9003070161,CONSORCIO CALLE 134,IDU-20-2009,1324414413,09/14/2015 12:00:00 AM,09/14/2015 12:00:00 AM,09/14/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182659
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria Resol.43817 de 2015,8002310218,I C M INGENIEROS S A,IDU-32-2011,485545718,06/19/2015 12:00:00 AM,06/19/2015 12:00:00 AM,06/22/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182305
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Constancia Ejecutoria Resolución 25417 de 2015,9004029921,CONSORCIO AVENIDA PRIMERA DE MAYO 2010,IDU-56-2010,39201625,04/10/2015 12:00:00 AM,04/10/2015 12:00:00 AM,04/22/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182069
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONSTANCIA EJECUTORIA RESOLUCION 5090 DE 2016,79398808,FERNANDO HERNANDEZ ALEMAN,IDU-1453-2014,3375000,05/02/2016 12:00:00 AM,05/02/2016 12:00:00 AM,05/05/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183495
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,CONTANCIA EJECUTORIA RESOL 010301 DE 2016,8301178967,CONSTRUCCIONES AR & S S.A.S ANTES CONSTRUCCIONES A,IDU-1947-2014,218582081,12/23/2016 12:00:00 AM,12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184838
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,EJECUTORIA RESOL 4351DE 2016,1019106202,PAOLA ANDREA PACHON ORTEGA,IDU-1356-2015,1125000,03/29/2016 12:00:00 AM,03/30/2016 12:00:00 AM,04/21/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183418
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,EJECUTORIA RESOL 4669 DE 2016,9007835993,CONSORCIO MALLA VIAL 017,IDU-1686-2014,25751504,04/20/2016 12:00:00 AM,04/20/2016 12:00:00 AM,04/21/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183416
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Ejecutoria Resol. 61909 de 2015,12130663,LUIS ENRIQUE OLAYA ALBA,IDU-553-2015,4620000,04/29/2016 12:00:00 AM,04/29/2016 12:00:00 AM,05/02/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183462
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resol 4669 de 2016,9007835993,CONSORCIO MALLA VIAL 017,IDU-1686-2014,25751504,03/19/2016 12:00:00 AM,04/20/2016 12:00:00 AM,04/21/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183415
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resol 65258 de 2015,9007835993,CONSORCIO MALLA VIAL 017,IDU-1686-2014,25751504,12/09/2015 12:00:00 AM,04/20/2016 12:00:00 AM,04/21/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183414
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLCUION 43817 DE 2015,8002310218,I C M INGENIEROS S A,IDU-32-2011,485545718,06/18/2015 12:00:00 AM,06/19/2015 12:00:00 AM,06/22/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182304
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCION  4351 DE 2016,1019106202,PAOLA ANDREA PACHON ORTEGA,IDU-1356-2015,1125000,03/29/2016 12:00:00 AM,03/30/2016 12:00:00 AM,04/21/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26183417
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN 0002685 DE 2019,8605315776,PROJEKTA LIMITADA INGENIEROS CONSULTORES,IDU-1536-2017,27054888,06/18/2019 12:00:00 AM,09/16/2019 12:00:00 AM,09/19/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188858
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN 0003196 DE 2019,1023882579,YENSY PAOLA CARO BETANCOURT,IDU-39-2018,680400,07/15/2019 12:00:00 AM,07/16/2019 12:00:00 AM,07/17/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188676
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN 000851 DE 2019,8604512531,CIVING INGENIEROS CONTRATISTAS S.A.S.,IDU-823-2013,352709229,03/06/2019 12:00:00 AM,04/05/2019 12:00:00 AM,04/10/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188358
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN 001744 DE 2019,9010363689,CONSORCIO JHG,IDU-1092-2016,132110325,05/06/2019 12:00:00 AM,07/08/2019 12:00:00 AM,07/09/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188658
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,RESOLUCIÓN 001921 DE 2019,9001391105,MAB INGENIERIA DE VALOR S.A.,IDU-1697-2013,358634918,05/14/2019 12:00:00 AM,05/30/2019 12:00:00 AM,05/30/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188536
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resolución 009019 de 2016,9007789885,CONSORCIO LA SIRENA 2014,IDU-1654-2014,2160736238,09/27/2016 12:00:00 AM,09/30/2016 12:00:00 AM,10/05/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184276
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resolución 010301 de 2016,8301178967,CONSTRUCCIONES AR & S S.A.S ANTES CONSTRUCCIONES A,IDU-1947-2014,253362325,11/21/2016 12:00:00 AM,12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184836
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resolución 010841 de 2016,9007662331,CONSORCIO ESPACIOS URBANOS 009,IDU-1275-2014,282643280,12/13/2016 12:00:00 AM,12/14/2016 12:00:00 AM,12/16/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184779
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resolución 011040 de 2016,8301178967,CONSTRUCCIONES AR & S S.A.S ANTES CONSTRUCCIONES A,IDU-1947-2014,218582081,12/22/2016 12:00:00 AM,12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184837
BOGOTÁ D.C. - IDU,No Definido,TERRITORIAL,DISTRITO CAPITAL,Bogotá D.C.,Resolucion 105266 de 2014,8300104877,PABLO EMILIO BOCAREJO INGENIEROS CONSULTORES & CIA,IDU-43-2012,22450148,11/28/2014 12:00:00 AM,03/10/2015 12:00:00 AM,03/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181924
